r,target_delta_g,nfw_full_delta_g,nfw_outer_delta_g,cored_isothermal_full_delta_g,gap_full_delta_g,gap_outer_delta_g,target_speed,nfw_outer_speed,target_slope,nfw_outer_slope,target_density_proxy,nfw_outer_density_proxy,gap_outer_density_proxy
9.545205479452056,2929.496673349828,2095.628948345195,2998.0698446734445,2944.2578058698095,833.867725004633,-68.5731713236164,167.22035671082438,169.16616892616838,-0.4220800243006124,-0.5790180688433395,0.0008956323515194884,0.0008255852827166681,7.004706880281954e-05
9.726484018264841,2905.9071390738873,2086.2678536195444,2965.4002046490623,2915.8711843618544,819.6392854543428,-59.493065575175024,168.1197767865633,169.83202789308734,-0.4373808706689033,-0.5857680528893923,0.0008634329229428974,0.0007975720972967173,6.586082564618052e-05
9.907762557077627,2882.1326206981644,2076.9766645660043,2933.316953823357,2887.551522292568,805.1559561321601,-51.18433312519255,168.98368460856003,170.47758762703106,-0.45233615886039047,-0.5924240221022785,0.0008326769524184488,0.0007708711940180976,6.180575840035259e-05
10.089041095890414,2858.2120446576428,2067.75464343903,2901.8053629729743,2859.335841517003,790.4574012186126,-43.593318315331544,169.8134823249318,171.10357553046498,-0.4669514212629906,-0.5989880317947609,0.0008032918080941458,0.0007454032107068455,5.788859738730355e-05
10.270319634703199,2834.181354767151,2058.601062579802,2870.851178579126,2831.256926180076,775.5802921873487,-36.66982381197522,170.61051672207896,171.7106846636866,-0.48123218557572045,-0.6054620766314827,0.0007752087931061819,0.0007210947083006429,5.411408480553373e-05
10.451598173515984,2810.073712368757,2049.5152042467166,2840.4406040675276,2803.3437203944886,760.5585081220402,-30.366891698770814,171.3760814105591,172.29957582493583,-0.49518397137708803,-0.6118480928688541,0.0007483629205695392,0.0006978776431837604,5.048527738577528e-05
10.63287671232877,2785.9196834203276,2040.4963604493219,2810.560281920943,2775.621691305364,745.4233229710057,-24.640598500615397,172.1114189246557,172.8708794743446,-0.508812286792363,-0.6181479604950368,0.0007226927020017192,0.0006756888941931785,4.700380780854585e-05
10.814155251141555,2761.74741337821,2031.543832785491,2781.197276617658,2748.113160221954,730.2035805927187,-19.449863239448405,172.81772273904832,173.42519751580346,-0.5221226252614599,-0.624363505277671,0.0006981399483453421,0.0006544698378432276,4.3670110502117405e-05
10.99543378995434,2737.582790670711,2022.6569322818768,2752.3390583519654,2720.8376043568987,714.9258583888341,-14.756267681254485,173.49613920585736,173.96310494933778,-0.5351204624084858,-0.630496500721847,0.0006746495828100846,0.0006341659661693889,4.048361664069563e-05
11.176712328767126,2713.4495995064854,2013.8349792374531,2723.9734874954474,2693.8119315652143,699.6146202690322,-10.523887988962088,174.1477694152077,174.48515140528477,-0.5478112530141743,-0.6365486699436076,0.0006521694648047827,0.0006147265423200309,3.744292248475252e-05
