target,bootstrap,mode,best_abs_correlation
positive_delta_g,18,3,0.9971001986258894
positive_delta_g,18,4,0.9945730405987026
positive_delta_g,18,5,0.9962590520379893
positive_delta_g,18,6,0.8457281698621782
positive_delta_g,19,1,0.8539366808626094
positive_delta_g,19,2,0.9336690207593198
positive_delta_g,19,3,0.9975196221850828
positive_delta_g,19,4,0.983979827657024
positive_delta_g,19,5,0.9973848407833829
positive_delta_g,19,6,0.788536453944437
positive_delta_g,20,1,0.785731993998353
positive_delta_g,20,2,0.9755749418228888
positive_delta_g,20,3,0.9954189538780283
positive_delta_g,20,4,0.9943512446123284
positive_delta_g,20,5,0.9978428000101406
positive_delta_g,20,6,0.5534326778250719
positive_delta_g,21,1,0.9784522702102761
positive_delta_g,21,2,0.8464424713632775
positive_delta_g,21,3,0.9941559655997944
positive_delta_g,21,4,0.9987181295561696
positive_delta_g,21,5,0.994941928878016
positive_delta_g,21,6,0.9214760955412461
positive_delta_g,22,1,0.9159207492047555
positive_delta_g,22,2,0.8011137006948339
positive_delta_g,22,3,0.9780944876456666
positive_delta_g,22,4,0.9744437008466704
positive_delta_g,22,5,0.9985964425061336
positive_delta_g,22,6,0.9392512086171891
positive_delta_g,23,1,0.8437369714200894
positive_delta_g,23,2,0.972997950157253
positive_delta_g,23,3,0.9920723913330163
positive_delta_g,23,4,0.9731133938776508
positive_delta_g,23,5,0.984737578173688
positive_delta_g,23,6,0.6235099851460381
positive_delta_g,24,1,0.995029424283552
positive_delta_g,24,2,0.9135934889294078
positive_delta_g,24,3,0.9848925790717056
positive_delta_g,24,4,0.9772346053559258
positive_delta_g,24,5,0.94914834563189
positive_delta_g,24,6,0.6424395626328986
positive_delta_g,25,1,0.995927292213876
positive_delta_g,25,2,0.8663112308132424
positive_delta_g,25,3,0.9958059362578495
positive_delta_g,25,4,0.9596548598687717
positive_delta_g,25,5,0.9695244904854063
positive_delta_g,25,6,0.5203357542161157
positive_delta_g,26,1,0.997107384306272
positive_delta_g,26,2,0.9396471741388426
positive_delta_g,26,3,0.998812666518334
positive_delta_g,26,4,0.998096581996278
positive_delta_g,26,5,0.9924925947271104
positive_delta_g,26,6,0.9056825517686062
positive_delta_g,27,1,0.839703169428446
positive_delta_g,27,2,0.8101837334670284
positive_delta_g,27,3,0.9564562955575234
positive_delta_g,27,4,0.9961253696713128
positive_delta_g,27,5,0.999298542449409
positive_delta_g,27,6,0.891351248023974
positive_delta_g,28,1,0.9999668590421374
positive_delta_g,28,2,0.9891123188107402
positive_delta_g,28,3,0.9975823885627462
positive_delta_g,28,4,0.9964600217332068
positive_delta_g,28,5,0.99899170423441
positive_delta_g,28,6,0.8744319528464474
positive_delta_g,29,1,0.9402926929727871
positive_delta_g,29,2,0.9286164260926605
positive_delta_g,29,3,0.9992311513493916
positive_delta_g,29,4,0.9887615786325308
positive_delta_g,29,5,0.9993710692289984
positive_delta_g,29,6,0.6890637408648306
positive_delta_g,30,1,0.9986229299614332
positive_delta_g,30,2,0.9757595908500298
positive_delta_g,30,3,0.9963489804895715
positive_delta_g,30,4,0.9831212907527921
positive_delta_g,30,5,0.9974861830049098
positive_delta_g,30,6,0.9314553636822368
positive_delta_g,31,1,0.9994504574789232
positive_delta_g,31,2,0.627420687565862
positive_delta_g,31,3,0.99613597816537
positive_delta_g,31,4,0.7955393808814443
positive_delta_g,31,5,0.9969167560616156
positive_delta_g,31,6,0.8088619806557048
positive_delta_g,32,1,0.9855043166451726
positive_delta_g,32,2,0.5807659716408771
positive_delta_g,32,3,0.9926104431535697
positive_delta_g,32,4,0.9934891929079269
